# Collected By: Andy Pavlo http://www.cs.brown.edu/~pavlo/
"LoyaltyPoint Inc.",LYLP,
"AMERICAN BIOGE SC  A",MABAA,
"Madge Limited",MADGQ,
"Maxco Inc.",MAXC,
"Maxicare Health Plans Inc.",MAXI,
"MAXWORLDWIDE INC",MAXW,
"MBA Holdings Inc.",MBAH,
"MediaBay Inc.",MBAY,
"MB TECH INC",MBTT,
"MICHIGAN CMTY BNCP",MCBP,
"Medicor Ltd.",MDCR,
"Media 100 Inc.",MDEA,
"MEDICAL INTL TECH",MDLH,
"MD Technologies Inc.",MDTO,
"Medwave Inc.",MDWV,
"MedQuist Inc.",MEDQ,
"MAYFAIR MNG & MINERL",MFMM,
"Morgan Group Holding Co.",MGHL,
"MSO HOLDINGS INC NEW",MHLG,
"MicroHelix, Inc.",MHLX,
"Manhattan Scientifics Inc.",MHTX,
"MIDNET INC",MIDX,
"MIGAMI INC",MIGA,
"Miller Petroleum Inc.",MILL,
"McKenzie Bay International Ltd.",MKBY,
"Manakoa Services Corp.",MKOS,
"Millea Holdings Inc.",MLEAY,
"MILLENIA HOPE INC",MLHP,
"Molecular Imaging Corp.",MLRI,
"MUTUAL RISK MGMT LTD",MLRMF,
"Medical Discoveries Inc.",MLSC,
"Michelex Corp.",MLXO,
"Mile Marker International Inc.",MMRK,
"MediaMax Technology Corp.",MMXT,
"Castleguard Energy Inc.",MOAT,
"MODERN TECH CORP",MODC,
"Chadmoore Wireless Group Inc.",MOORZ,
"Motive Inc.",MOTV,
"MOTION PICTURE GRP",MPRG,
"Moro Corp.",MRCR,
"Miracor Diagnostics Inc.",MRDG,
"MERIDIAN HLDGS INC",MRDH,
"Mirenco Inc.",MREO,
"Medical Resources Inc.",MRIIQ,
"MCRAE INDS CL A",MRINA,
"Markland Technologies Inc.",MRKL,
"MICROPHONICS INC",MRPS,
"MacReport.Net Inc.",MRPT,
"Miravant Medical Technologies",MRVT,
"Merisel Inc.",MSEL,
"MSH ENTERTAINMENT CO",MSHE,
"Millstream II Acquisition Corp.",MSMA,
"MILLSTREAM II ACQ UT",MSMAU,
"MILLSTREAM II ACQ WT",MSMAW,
"MTI Technology Corp.",MTIC,
"Metaline Contact Mines",MTLI,
"Metromedia International Group Inc.",MTRM,
"Metasource Group Inc.",MTSR,
"MSU Devices Inc.",MUCPQ,
"Metso Corporation",MXCYY,
"Marnetics Broadband Tech. Ltd.",MXBTF,
"Maxim Integrated Products Inc.",MXIM,
"Military Resale Group Inc.",MYRG,
"NORTHEAST AUTO ACCEP",NAAC,
"National Australia Bank Ltd",NABZY,
"Nature's Sunshine Products Inc.",NATR,
"Navistar International Corp",NAVZ,
"No Borders Inc.",NBDR,
"Nicodrops, Inc.",NCDP,
"NITAR TECH CORP",NCHP,
"Nortia Capital Partners Inc.",NCPN,
"Nano Chemical Systems Holdings, Inc.",NCSH,
"NEW ENGLAND PWR 6.00",NEWEN,
"New Horizons Worldwide Inc.",NEWH,
"NEC Corp.",NIPNY,
"NewKidCo International Inc.",NKCIF,
"NUONCOLOGY LABS INC",NLAB,
"Network Plus Corp.",NPLSQ,
"Northpoint Communications Group Inc.",NPNTQ,
"NQL Inc.",NQLIQ,
"NetBank Inc.",NTBKQ,
"NET2000 COMMUNICATNS",NTKKQ,
"NETPLEX GROUP INC",NTPL,
"New York Mortgage Trust Inc.",NMTG,
"KINDERHOOK BANK CORP",NUBK,
"NUR MACROPRINTERS",NURMF,
"Navitone Technologies Inc.",NVTN,
"NEW TEL LTD ADR",NWLLQ,
"NEWTECH BRAKE CORP",NWTB,
"Nexicon Inc.",NXCN,
"NYFIX Inc.",NYFX,
"New York Regional Rail Corp.",NYRR,
"Ohio Art Co.",OART,
"ORBIT DROP INC",OBDP,
"Orbit Petroleum, Inc.",OBPT,
"OCE NV",OCENY,
"OLYMPUS CORP SP ADR",OCPNY,
"Ocean Resources Inc.",OCRI,
"Odimo Inc.",ODMO,
"One IP Voice, Inc.",OIVO,
"Oakwood Homes Corp.",OKWHQ,
"OMNI OIL & GAS INC",OMOI,
"OMRON CORP  SPON ADR",OMRNY,
"Orthometrix Inc.",OMRX,
"One Price Clothing Stores Inc.",ONPRQ,
"ONSITE ENERGY CORPORATION",ONSE,
"Orderpro Logistics, Inc.",OPLO,
"OPTION NV SA ADR",OPNVY,
"OCEAN POWER TECH",OPWT,
"OJSC POLYUS GOLD ADR",OPYGY,
"ORKLA AS SPONS ADR",ORKLY,
"Oryx Technology Corp.",ORYX,
"OSI PHARM C V RT",OSIPR,
"ONLINE SALES STRATEG",OSSG,
"OneTravel Holdings Inc.",OTVLQ,
"Oasys Mobile, Inc.",OYSM,
"Pac-West Telecomm Inc.",PACW,
"Pacific CMA, Incorporated",PACC,
"PBS HOLDING, INC.",PBHG,
"Pachinko World, Inc.",PCHW,
"Pacel Corp.",PCLO,
"PCCW Limited",PCCWY,
"Petal Decorative Accents, Inc.",PDEC,
"Premier Development & Investment Inc.",PDIV,
"Paradise Music & Entertainment, Inc.",PDSE,
"PODIUM VENTURE GRP",PDVP,
"PAULA FINANCIAL",PFCO,
"Pacificap Entertainment Holdings Inc.",PFEH,
"PaperFree Medical Solutions Inc.",PFMS,
"PACIFIC GATEWAY EXCH",PGEXQ,
"PGMI, Inc.",PGMI,
"Petroleum Geo-Services Asa",PGSVY,
"Pharmanetics Inc.",PHAR,
"Phantom Entertainment, Inc.",PHEI,
"PERIHELION GLOBAL",PHGI,
"Phone1 Globalwide Inc.",PHGW,
"PENTHOUSE INTL INC",PHSL,
"PHOTON TECH INTL INC",PHTO,
"Physicians Adult Daycare Inc.",PHYA,
"PIXTECH INC",PIXTQ,
"Project Group Inc.",PJTGQ,
"American Italian Pasta Company",AITP,
"Pliant Systems Inc.",PLNS,
"PILOT THERAPEUTICS",PLTT,
"ePlus Inc.",PLUS,
"Patriot Motorcycle Corp.",PMCY,
"PREMIER OIL SPON ADR",PMOIY,
"Path 1 Network Technologies Inc.",PNOT,
"Pinnacle Resources Inc.",PNRR,
"PARADIGM OIL AND GAS",POGI,
"Pope & Talbot Inc.",PTBT,
"Prosoft Learning Corp.",POSOQ,
"Provant Inc.",POVT,
"Polyair Inter Pack Inc.",PPKZ,
"Protide Pharmaceuticals Inc.",PPMD,
"ProQuest Company",VLCY,
"Paradigm Advanced Technologies Inc.",PRAV,
"Procom Technology Inc.",PRCM,
"Prolong International Corp.",PRLI,
"Prologic Management Systems Inc.",PRLO,
"Purchasepro.com Inc.",PROEQ,
"Proterion Corp.",PROI,
"Proxim Corp.",PROXQ,
"Primus Telecommunications Group Inc.",PRTL,
"PSI Corporation",PSCP,
"Poseidis Inc.",PSED,
"PRISM SOFTWARE CORP",PSOF,
"Prospero Minerals Corp.",PSPO,
"Preservation Sciences Inc.",PSVI,
"Penn Traffic Co.",PTFC,
"Petrol Industries Inc.",PTLD,
"Patron Systems Inc.",PTRN,
"Petrominerals Corp.",PTRO,
"Publicis Groupe S.A.",PUBGY,
"PVC Container Corp.",PVCO,
"Point West Capital Corp.",PWCCQ,
"POWERCOLD CORP",PWCL,
"Paper Warehouse Inc.",PWHSQ,
"Powerchannel Inc.",PWRC,
"Power Technology Inc.",PWTC,
"Quaker Fabric Corp.",QFAB,
"QUERYOBJECT SYS CP",QOBJ,
"QRSCIENCES HLDGS ADR",QRSNY,
"Data Race, Inc.",RACE,
RANDGOLD,RANGY,
"RCN Corp.",RCNI,
"Ramp Corp.",RCOCQ,
"Recoton Corp.",RCOTQ,
"Radix Marine Inc.",RDXM,
"R&G Financial Corp.",RGFC,
"R&G FIN CORP C",RGFCN,
"R&G FIN CORP B",RGFCO,
"Rouge Industries Inc.",RGIDQ,
"RG America Inc.",RGMI,
Rhodia,RHAYY,
"ROCHE HLDG LTD SPONS",RHHBY,
"Ronco Corporation",RNCP,
"ROBO GROUP TEK LTD",ROBOF,
"ROWE COS (THE)",ROWC,
"Rapidtron Inc.",RPDT,
"Repeater Technologies Inc.",RPTR,
"RS GROUP OF COS INC",RSGC,
